指标,中文名称,单位,具体含义
provider,厂商标识,-,配置文件选择的产品标识；例如aliyun或vol
product_name,产品名称,-,结果目录和表格显示名称；例如阿里云或字节
storage,存储场景,-,none表示无挂载；oss表示对象存储；file表示文件存储
target_rate_per_s,目标启动速率,次/秒,客户端每秒计划发起的Sandbox.create次数
rate_label,档位标签,-,用于跨厂商结果矩阵显示；例如1tps、10tps、50tps
duration_seconds,持续发压时间,秒,客户端按照目标启动速率持续发起请求的时间
configured_max_workers,配置线程上限,个,命令配置的工作线程上限；当前默认1000
effective_max_workers,实际线程上限,个,配置线程上限和当前档位请求数中的较小值
attempts,请求数量,次,当前档位实际安排的创建请求数量
mean_excludes_first_trial,均值排除首样本,-,true表示当前TPS档位第1个沙箱不参与mean
api_success_rate_pct,API创建成功率,%,Sandbox.create成功返回Sandbox的比例
ready_success_rate_pct,功能就绪成功率,%,创建成功且第一条和第二条Python命令均成功执行的比例
cleanup_success_rate_pct,资源清理成功率,%,测试后成功kill并释放Sandbox的比例
api_latency_min_ms,API最小延迟,ms,所有API创建成功样本中的最小值
api_latency_max_ms,API最大延迟,ms,所有API创建成功样本中的最大值
api_latency_mean_sample_count,API均值样本数,次,排除首样本和无效值后实际参与API mean的样本数
api_latency_mean_ms,API平均延迟,ms,排除当前TPS档位第1个沙箱后从开始create到create返回的平均时间
api_latency_p50_ms,API延迟P50,ms,50%的成功创建请求不超过该时间
api_latency_p90_ms,API延迟P90,ms,90%的成功创建请求不超过该时间
api_latency_p95_ms,API延迟P95,ms,95%的成功创建请求不超过该时间
api_latency_p99_ms,API延迟P99,ms,99%的成功创建请求不超过该时间
first_command_latency_min_ms,首命令最小延迟,ms,所有首命令有效样本中的最小值
first_command_latency_max_ms,首命令最大延迟,ms,所有首命令有效样本中的最大值
first_command_latency_mean_sample_count,首命令均值样本数,次,排除首样本和无效值后实际参与首命令mean的样本数
first_command_latency_mean_ms,首命令平均延迟,ms,排除当前TPS档位第1个沙箱后从create开始到第一条命令完成的累计平均时间
first_command_latency_p50_ms,首命令延迟P50,ms,50%的请求从create开始到首条命令完成不超过该时间
first_command_latency_p90_ms,首命令延迟P90,ms,90%的请求从create开始到首条命令完成不超过该时间
first_command_latency_p95_ms,首命令延迟P95,ms,95%的请求从create开始到首条命令完成不超过该时间
first_command_latency_p99_ms,首命令延迟P99,ms,99%的请求从create开始到首条命令完成不超过该时间
second_command_latency_min_ms,第二条命令最小延迟,ms,所有第二条命令有效样本中的最小值
second_command_latency_max_ms,第二条命令最大延迟,ms,所有第二条命令有效样本中的最大值
second_command_latency_mean_sample_count,第二条命令均值样本数,次,排除首样本和无效值后实际参与第二条命令mean的样本数
second_command_latency_mean_ms,第二条命令平均延迟,ms,排除当前TPS档位第1个沙箱后从create开始到第二条命令完成的累计平均时间
second_command_latency_p50_ms,第二条命令延迟P50,ms,50%的请求从create开始到第二条命令完成不超过该时间
second_command_latency_p90_ms,第二条命令延迟P90,ms,90%的请求从create开始到第二条命令完成不超过该时间
second_command_latency_p95_ms,第二条命令延迟P95,ms,95%的请求从create开始到第二条命令完成不超过该时间
second_command_latency_p99_ms,第二条命令延迟P99,ms,99%的请求从create开始到第二条命令完成不超过该时间
schedule_delay_p95_ms,本地调度延迟P95,ms,95%的请求相对计划发起时间的本地延误不超过该值
